108,2266,1695
108,2272,1701
110,2283,1711
110,2289,1716
110,2292,1719
126,2348,1778
130,2392,1803
174,2839,2093
177,3064,2256
185,3153,2320
185,3158,2325
185,3165,2332
185,3169,2336
198,3225,2404
218,3488,2641
339,4061,3228
374,4258,3416
393,4471,3594
413,4600,3717
427,4972,3881
434,5403,3990
440,5893,4154
443,6420,4227
450,6652,4301
450,6940,4326
456,7063,4436
458,7460,4698
469,7642,4812
473,7691,4864
477,7802,4974
479,7839,5022
482,7892,5080
488,7970,5102
488,8015,5159
488,8046,5196
492,8111,5264
495,8139,5310
498,8203,5381
498,8220,5394
498,8281,5461
500,8326,5522
500,8336,5535
504,8406,5612
504,8410,5618
508,8495,5719
509,8550,5780
512,8673,5847
517,8756,5916
518,8806,5970
521,8860,6030
524,8980,6096
556,9065,6138
561,9291,6248
585,9476,6283
592,9539,6324
597,9595,6378
600,9672,6452
601,9731,6510
605,9799,6576
