MTB,https://www.youtube.com/watch?v=CCOII0ZuDp0,【东方MMD】若鹭姬漂浮装置！【中文字幕】,https://www.bilibili.com/video/BV1Ck2BBcEvC,2,,,
MTB,https://www.youtube.com/watch?v=DcbFKxhxSWw,[中字]琪露诺的考试题目,https://www.bilibili.com/video/BV15mUHB6Eat,2,,,
MTB,https://www.youtube.com/watch?v=Y2XiAbJk3ew,[中字]雏转圈圈圈圈~,https://www.bilibili.com/video/BV1VCYzzAETj,2,,,
MMaDness,https://www.youtube.com/watch?v=Zkd0RApYIuQ,【东方MMD】超级FUMO广告！【中字】,https://www.bilibili.com/video/BV1cunnz8EfQ,1,,,
sasa,https://www.nicovideo.jp/watch/sm30549098,【中文字幕】衣玖的结婚【东方MMD】,https://www.bilibili.com/video/BV1sx411C7wG,1,,,
ほらいむ,https://www.youtube.com/watch?v=5U8ol26MgNs,[中字]芙兰：嘎呜~要把你吃掉咯~,https://www.bilibili.com/video/BV1vF1gBAEZN,2,,,
はっちぼっち,https://www.nicovideo.jp/watch/sm30564234,【中文字幕】铃仙的灾难【东方MMD】,https://www.bilibili.com/video/BV1ux411C7sm,1,,,
二律,https://www.nicovideo.jp/watch/sm24837437,【莳乃字幕屋】东方幻想乡友谊 序章之1【东方MMD】,https://www.bilibili.com/video/BV1ix411A71b,1,,,
二律,https://www.nicovideo.jp/watch/sm25184246,【东方MMD】东方幻想乡友谊 序章之2【中文字幕-莳乃字幕屋】,https://www.bilibili.com/video/BV1Es411D75H,1,,,
sei,https://www.nicovideo.jp/watch/sm23161561,【莳乃字幕屋】博丽神社有谁来访了 第一回【东方MMD剧场】,https://www.bilibili.com/video/BV1Qx411A7bA,1,原视频非公开,原作者主页：https://www.nicovideo.jp/user/30602456,
sei,https://www.nicovideo.jp/watch/sm33940273,【东方MMD中文字幕】秘封噩梦日记后日谈【剧透预警】,https://www.bilibili.com/video/BV1RW411m71W,1,原视频非公开,,
ぱいん,https://www.nicovideo.jp/watch/sm28508727,【东方MMD中文字幕】唐伞妖怪的料理【优质推荐】,https://www.bilibili.com/video/BV1mt411h725,1,,,
ぱいん,https://www.nicovideo.jp/watch/sm33830105,【东方MMD中文字幕】从墓地到摇笼【(╯°口°)╯(┴—┴】,https://www.bilibili.com/video/BV1hW411o76n,1,,,
ぱいん,https://www.nicovideo.jp/watch/sm32616171,【东方MMD】从者的辛苦小伞绮想曲,https://www.bilibili.com/video/BV15s411p7tU,5,,,
ぱいん,https://www.nicovideo.jp/watch/sm31208717,【东方MMD】从者的辛苦一方美人,https://www.bilibili.com/video/BV15s411p7Qc,5,,,
ぱいん,https://www.nicovideo.jp/watch/sm31946122,【东方MMD】从者的辛苦嫉妒的女佣,https://www.bilibili.com/video/BV15s411p7Ry,5,,,
ぱいん,https://www.nicovideo.jp/watch/sm30362163,【东方MMD】从者的辛苦三只妖精,https://www.bilibili.com/video/BV1fs411H7UM,5,,,
原作者未知,https://www.nicovideo.jp/watch/sm31082411,【东方MMD中文字幕】月都的白色情人节【好甜啊】,https://www.bilibili.com/video/BV1uW411276y,1,,,
希ノ姫,https://www.nicovideo.jp/watch/sm28021777,【东方MMD中文字幕】最重要的朋友,https://www.bilibili.com/video/BV1Lt411m7qJ,1,,,
希ノ姫,https://www.nicovideo.jp/watch/sm27143090,【东方MMD中文字幕】芙兰想做什么,https://www.bilibili.com/video/BV1ft4112731,1,,,
希ノ姫,https://www.nicovideo.jp/watch/sm28189455,【东方MMD中文字幕】寻找希望之面,https://www.bilibili.com/video/BV1LW411S7zg,1,,,
ダブ,https://www.youtube.com/watch?v=YO828WXGHtQ,【东方MMD】东方来来轩 第16話「世界第一温柔的人」【中文字幕】,https://www.bilibili.com/video/BV1DM4y1V7gY,1,,该熟肉更清晰，建议替换,
ダブ,https://www.youtube.com/watch?v=sf1cRExe_u4,【东方MMD】东方来来轩 第15話 「女狐」【中文字幕】,https://www.bilibili.com/video/BV1ry4y167vp,1,,,
ダブ,https://www.youtube.com/watch?v=F8cyb_HSxkM,【东方MMD】东方来来轩 第14話 「錆びついた食卓」【中文字幕】,https://www.bilibili.com/video/BV14h411d7ce,1,,,
ダブ,https://www.youtube.com/watch?v=Pewm2-TeJnU,【东方MMD】东方来来轩 第13話 「客场比赛」【中文字幕】,https://www.bilibili.com/video/BV18441147UY,1,,,
ダブ,https://www.youtube.com/watch?v=MMWlEI6T5yc,【魔恋字幕组】东方来来轩 第12話 风和女人是关不住的【东方MMD】,https://www.bilibili.com/video/BV1tW411S7JK,1,,,
ダブ,https://www.youtube.com/watch?v=m_Q4l0u-D4o,【东方MMD】东方来来轩 第10話 觉大人的世代【内嵌字幕】,https://www.bilibili.com/video/BV1RW411v7y4,1,,,
ダブ,https://www.youtube.com/watch?v=DT-_7s-bs94,【东方MMD】东方来来轩 第7话 小小的爱丽丝,https://www.bilibili.com/video/BV1yx41137tp,5,,,
ダブ,https://www.youtube.com/watch?v=fQtldbztq_c,【东方MMD】东方来来轩 第8話 迈向相同的顶点,https://www.bilibili.com/video/BV1px411g7H8,5,,,
ダブ,https://www.youtube.com/watch?v=c4WU9XEiFHM,【东方MMD】东方来来轩 第9話 欢迎来到东方轩～,https://www.bilibili.com/video/BV15x41177TU,5,,,
ダブ,https://www.youtube.com/watch?v=Fw6arJFwvWc,【东方MMD】东方来来轩 第11話「恋爱的幻想」,https://www.bilibili.com/video/BV1eW411T7kq,5,,,
